links-href,picture-src,name,old price,new price,discount,series,color,type,suitable for,cpu brand,cpu name,cpu generation,ssd capacity,ram capacity,gpu processor,os system,screen size,screen resolution,screen type,webcam,warranty,rating,new price vnd,old price vnd,brand
https://www.flipkart.com/asus-vivobook-go-15-2023-amd-ryzen-5-quad-core-7520u-8-gb-512-gb-ssd-windows-11-home-e1504fa-nj521ws-thin-light-laptop/p/itm454b1b37dbe89?pid=COMGNRNUKRMMXNZQ&lid=LSTCOMGNRNUKRMMXNZQPQADWR&marketplace=FLIPKART&q=asus+laptop&store=6bo%2Fb5g&srno=s_1_24&otracker=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&iid=81fb3654-e76e-4706-9dd8-b0e84abdd0a9.COMGNRNUKRMMXNZQ.SEARCH&ssid=7662nel62o0000001715373112537&qH=cda2435f700c2043,https://rukminim2.flixcart.com/image/416/416/xif0q/computer/u/h/s/-original-imagpxgqj6x2zkhe.jpeg?q=70&crop=false,ASUS Vivobook Go 15 (2023) AMD Ryzen 5 Quad Core 7520U ,20415202.0,12186952.0,0.4,Vivobook Go 15 (2023),Cool Silver,Thin and Light Laptop,Processing and Multitasking,AMD,Ryzen 5 Quad Core,Unknow,512,8,AMD Radeon AMD,Windows,15.6 Inch,full hd,"FHD (1920 x 1080) 16:9 aspect ratio, LED Backlit LCD, Anti-glare display, 250nits Brightness, TUV Rheinland-certified, 84 % Screen-to-body ratio",720p HD camera With privacy shutter,1 Year Onsite Warranty,4.3,"12,186,952 VND","20,415,202 VND",ASUS
https://www.flipkart.com/asus-tuf-gaming-f17-ai-powered-intel-core-i5-11th-gen-11400h-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-144-hz-70-tgp-fx706hf-hx018w-laptop/p/itmf652967212437?pid=COMGZKHQVMNZXEAH&lid=LSTCOMGZKHQVMNZXEAHYLRJ6N&marketplace=FLIPKART&q=asus+laptop&store=6bo%2Fb5g&srno=s_1_23&otracker=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&iid=81fb3654-e76e-4706-9dd8-b0e84abdd0a9.COMGZKHQVMNZXEAH.SEARCH&ssid=7662nel62o0000001715373112537&qH=cda2435f700c2043,https://rukminim2.flixcart.com/image/416/416/xif0q/computer/h/w/b/-original-imagtzvhxxuhzr4g.jpeg?q=70&crop=false,ASUS TUF Gaming F17 ,23157952.0,16453452.0,0.28,TUF Gaming F17 - AI Powered Gaming,Graphite Black,Gaming Laptop,Gaming,Intel,Core i5,11th,512,8,NVIDIA GeForce RTX 2050,Windows,17.3 Inch,full hd,"FHD, 16:9 aspect ratio, 144Hz, 85/85/85/85, Value IPS-level, 250nits, 1000:1, 45%, 62.5%, 47.34%, Anti-glare display, Adaptive-Sync",720P HD camera,1 Year Onsite Warranty,4.3,"16,453,452 VND","23,157,952 VND",ASUS
https://www.flipkart.com/asus-vivobook-15-intel-core-i3-11th-gen-1115g4-16-gb-512-gb-ssd-windows-11-home-x515ea-ej342ws-thin-light-laptop/p/itm657040ef2c126?pid=COMGZ3MYJ2Z22ZAS&lid=LSTCOMGZ3MYJ2Z22ZAS52GLA0&marketplace=FLIPKART&q=asus+laptop&store=6bo%2Fb5g&spotlightTagId=FkPickId_6bo%2Fb5g&srno=s_1_22&otracker=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&iid=81fb3654-e76e-4706-9dd8-b0e84abdd0a9.COMGZ3MYJ2Z22ZAS.SEARCH&ssid=7662nel62o0000001715373112537&qH=cda2435f700c2043,https://rukminim2.flixcart.com/image/416/416/xif0q/computer/q/e/z/-original-imagpxgqesgrthks.jpeg?q=70&crop=false,ASUS Vivobook 15 Intel Core i3 11th Gen 1115G4 ,15234452.0,10967952.0,0.28,Vivobook 15,Transparent Silver,Thin and Light Laptop,Processing and Multitasking,Intel,Core i3,11th,512,16,Intel Integrated UHD,Windows,15.6 Inch,full hd,"Full HD, 16:9 aspect ratio, LCD Backlit, 60Hz refresh rate, 200nits, 45% NTSC color gamut, Anti-glare display",VGA camera,1 Year Onsite Warranty,4.3,"10,967,952 VND","15,234,452 VND",ASUS
https://www.flipkart.com/asus-vivobook-15-amd-ryzen-7-octa-core-5800hs-16-gb-512-gb-ssd-windows-11-home-m1502qa-ej741ws-thin-light-laptop/p/itmbc825d8a33486?pid=COMGZKHQMRTUJH3J&lid=LSTCOMGZKHQMRTUJH3JRMYCKU&marketplace=FLIPKART&q=asus+laptop&store=6bo%2Fb5g&srno=s_1_21&otracker=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&iid=81fb3654-e76e-4706-9dd8-b0e84abdd0a9.COMGZKHQMRTUJH3J.SEARCH&ssid=7662nel62o0000001715373112537&qH=cda2435f700c2043,https://rukminim2.flixcart.com/image/416/416/xif0q/computer/g/h/v/-original-imagvwp2xmptqqyg.jpeg?q=70&crop=false,ASUS Vivobook 15 AMD Ryzen 7 Octa Core 5800HS ,25291202.0,15234452.0,0.39,Vivobook 15,Quiet Blue,Thin and Light Laptop,Processing and Multitasking,AMD,Ryzen 7 Octa Core,Unknow,512,16,AMD Radeon AMD,Windows,15.6 Inch,full hd,"FHD, 16:9 aspect ratio, 60Hz refresh rate, 250nits, 45% NTSC color gamut, Anti-glare display,",720p HD camera With privacy shutter,1 Year Onsite Warranty,4.2,"15,234,452 VND","25,291,202 VND",ASUS
https://www.flipkart.com/asus-vivobook-15-2022-intel-celeron-quad-core-n4020-4-gb-256-gb-ssd-windows-11-home-x515ma-br011w-thin-light-laptop/p/itm8c10c564c0f06?pid=COMGB6DZKEFUMGHY&lid=LSTCOMGB6DZKEFUMGHYRSAKVK&marketplace=FLIPKART&q=asus+laptop&store=6bo%2Fb5g&srno=s_1_20&otracker=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&iid=81fb3654-e76e-4706-9dd8-b0e84abdd0a9.COMGB6DZKEFUMGHY.SEARCH&ssid=7662nel62o0000001715373112537&qH=cda2435f700c2043,https://rukminim2.flixcart.com/image/416/416/xif0q/computer/q/e/z/-original-imagpxgqesgrthks.jpeg?q=70&crop=false,ASUS VivoBook 15 (2022) Intel Celeron Quad Core N4020 ,10358452.0,6366228.0,0.38,VivoBook 15 (2022),Transparent Silver,Thin and Light Laptop,Processing and Multitasking,Intel,Celeron Quad Core,Unknow,256,4,Intel Integrated UHD,Windows,15.6 inch,2k,"HD LED Backlit 200nits, 45% NTSC color gamut, Anti-glare display",VGA camera,1 Year Onsite Warranty,4.1,"6,366,228 VND","10,358,452 VND",ASUS
https://www.flipkart.com/asus-tuf-gaming-f15-ai-powered-intel-core-i5-11th-gen-11260h-16-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-70-tgp-fx506hf-hn076w-laptop/p/itm9fecadb1da44e?pid=COMGS2AJW4JAADNU&lid=LSTCOMGS2AJW4JAADNUOQ0UOB&marketplace=FLIPKART&q=asus+laptop&store=6bo%2Fb5g&srno=s_1_19&otracker=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&iid=81fb3654-e76e-4706-9dd8-b0e84abdd0a9.COMGS2AJW4JAADNU.SEARCH&ssid=7662nel62o0000001715373112537&qH=cda2435f700c2043,https://rukminim2.flixcart.com/image/416/416/xif0q/computer/v/y/z/-original-imagtucnqsqpbvk6.jpeg?q=70&crop=false,ASUS TUF Gaming F15 ,24681702.0,17672452.0,0.28,TUF Gaming F15 - AI Powered Gaming,Graphite Black,Gaming Laptop,Gaming,Intel,Core i5,11th,512,16,NVIDIA GeForce RTX 2050,Windows,15.6 Inch,full hd,"Full HD, IPS, 16:9 Aspect Ratio, 144Hz Refresh Rate, Viewing Angle: 85/85/85/85, Contrast: 1000:1, Brightness: 250nits, NTSC%: 45%, SRGB%: 62.5%, Adobe%: 47.34%, Anti-glare Display, Adaptive Sync",720P HD Camera,1 Year Carry-in Warranty,4.3,"17,672,452 VND","24,681,702 VND",ASUS
https://www.flipkart.com/asus-vivobook-16-2023-intel-core-i3-13th-gen-1315u-8-gb-512-gb-ssd-windows-11-home-x1605vab-mb322ws-laptop/p/itmba6320019b6d6?pid=COMGZDQJCTDUXGTX&lid=LSTCOMGZDQJCTDUXGTX67HML6&marketplace=FLIPKART&q=asus+laptop&store=6bo%2Fb5g&srno=s_1_18&otracker=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&iid=81fb3654-e76e-4706-9dd8-b0e84abdd0a9.COMGZDQJCTDUXGTX.SEARCH&ssid=7662nel62o0000001715373112537&qH=cda2435f700c2043,https://rukminim2.flixcart.com/image/416/416/xif0q/computer/3/6/j/-original-imagpxgqfz7djerv.jpeg?q=70&crop=false,ASUS Vivobook 16 (2023) Intel Core i3 13th Gen 1315U ,19196202.0,12186952.0,0.36,Vivobook 16 (2023),Transparent Silver,Thin and Light Laptop,Processing and Multitasking,Intel,Core i3,13th,512,8,Intel Integrated UHD,Windows,16 Inch,2k,"WUXGA, 16:10 aspect ratio, IPS-level Panel, 60Hz refresh rate, 300nits, 45% NTSC color gamut, Anti-glare display",720p HD camera With privacy shutter,1 Year Onsite Warranty,4.4,"12,186,952 VND","19,196,202 VND",ASUS
https://www.flipkart.com/asus-tuf-gaming-f15-ai-powered-intel-core-i5-11th-gen-11260h-8-gb-512-gb-ssd-windows-11-home-4-graphics-nvidia-geforce-rtx-2050-144-hz-70-tgp-fx506hf-hn075w-laptop/p/itmbd858702e076f?pid=COMGS2AJESZQCMRT&lid=LSTCOMGS2AJESZQCMRTZVTWT2&marketplace=FLIPKART&q=asus+laptop&store=6bo%2Fb5g&spotlightTagId=BestsellerId_6bo%2Fb5g&srno=s_1_17&otracker=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&iid=81fb3654-e76e-4706-9dd8-b0e84abdd0a9.COMGS2AJESZQCMRT.SEARCH&ssid=7662nel62o0000001715373112537&qH=cda2435f700c2043,https://rukminim2.flixcart.com/image/416/416/xif0q/computer/v/y/z/-original-imagtucnqsqpbvk6.jpeg?q=70&crop=false,ASUS TUF Gaming F15 ,23157952.0,16453452.0,0.28,TUF Gaming F15 - AI Powered Gaming,Graphite Black,Gaming Laptop,Gaming,Intel,Core i5,11th,512,8,NVIDIA GeForce RTX 2050,Windows,15.6 Inch,full hd,"Full HD, IPS, 16:9 Aspect Ratio, 144Hz Refresh Rate, Viewing Angle: 85/85/85/85, Contrast: 1000:1, Brightness: 250nits, NTSC%: 45%, SRGB%: 62.5%, Adobe%: 47.34%, Anti-glare Display, Adaptive Sync",720P HD Camera,1 Year Carry-in Warranty,4.3,"16,453,452 VND","23,157,952 VND",ASUS
https://www.flipkart.com/asus-vivobook-14-2023-intel-core-i5-13th-gen-1335u-8-gb-512-gb-ssd-windows-11-home-x1404va-nk522ws-thin-light-laptop/p/itm1b888c282f7ff?pid=COMGZDQJYFFGZTVG&lid=LSTCOMGZDQJYFFGZTVGIVAYHP&marketplace=FLIPKART&q=asus+laptop&store=6bo%2Fb5g&srno=s_1_16&otracker=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&iid=81fb3654-e76e-4706-9dd8-b0e84abdd0a9.COMGZDQJYFFGZTVG.SEARCH&ssid=7662nel62o0000001715373112537&qH=cda2435f700c2043,https://rukminim2.flixcart.com/image/416/416/xif0q/computer/o/9/8/-original-imagpxgrmnnwrtzk.jpeg?q=70&crop=false,ASUS Vivobook 14 (2023) Intel Core i5 13th Gen 1335U ,22853202.0,16453452.0,0.28,Vivobook 14 (2023),Transparent Silver,Thin and Light Laptop,Processing and Multitasking,Intel,Core i5,13th,512,8,Intel Integrated UHD,Windows,14 Inch,full hd,"FHD (1920 x 1080) 16:9 aspect ratio, LED Backlit LCD, Anti-glare display, 250nits Brightness, 82 % Screen-to-body ratio",720p HD camera With privacy shutter,1 Year Onsite Warranty,4.0,"16,453,452 VND","22,853,202 VND",ASUS
https://www.flipkart.com/asus-vivobook-15-intel-core-i3-11th-gen-1115g4-8-gb-256-gb-ssd-windows-11-home-x515ea-ej312w-thin-light-laptop/p/itm7aa1836156b37?pid=COMG9WH98ZNYXWYH&lid=LSTCOMG9WH98ZNYXWYHARCWA8&marketplace=FLIPKART&q=asus+laptop&store=6bo%2Fb5g&srno=s_1_15&otracker=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_2_4_na_na_na&iid=81fb3654-e76e-4706-9dd8-b0e84abdd0a9.COMG9WH98ZNYXWYH.SEARCH&ssid=7662nel62o0000001715373112537&qH=cda2435f700c2043,https://rukminim2.flixcart.com/image/416/416/xif0q/computer/r/e/f/-original-imagrgprbhchwgve.jpeg?q=70&crop=false,ASUS Vivobook 15 Intel Core i3 11th Gen 1115G4 ,15539202.0,9075455.0,0.41,Vivobook 15,Transparent Silver,Thin and Light Laptop,Processing and Multitasking,Intel,Core i3,11th,256,8,Intel Integrated UHD,Windows,15.6 Inch,full hd,"Full HD anti-glare, Brightness: 200 nits, Color Gamut: 45% NTSC",VGA Webcam,1 Year Onsite Warranty,4.3,"9,075,455 VND","15,539,202 VND",ASUS
